CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
18594,MATH,1496,4,Spring,2023,CALCULUS I,"Dong, Yinlin",MWF,1200,1250,TR,1215,1330,CM
22573,MATH,2311,3,Spring,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",TR,1050,1205,,,,CM
22992,MATH,2311,3,Spring,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1100,1150,,,,CM
22993,MATH,2311,3,Spring,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1300,1350,,,,CM
21873,MATH,3311,3,Spring,2023,STATISTICAL METHODS,"Kwon, Ye I",MWF,1500,1550,,,,AM
22994,MATH,3311,3,Spring,2023,STATISTICAL METHODS,,,,,,,,AM
12252,MATH,3320,3,Spring,2023,LINEAR ALGEBRA,"Beyerl, Jeffrey",MWF,1100,1150,,,,CM
21867,MATH,3320,3,Spring,2023,LINEAR ALGEBRA,"Le, Long",TR,925,1040,,,,CM
11887,PHYS,1410,4,Spring,2023,COLLEGE PHYSICS 1,"Lusk, Jeremy A",T,800,1040,MWF,1000,1050,RS
11930,PHYS,1410,4,Spring,2023,COLLEGE PHYSICS 1,"Lusk, Jeremy A",MWF,1000,1050,T,1050,1330,RS
15350,PHYS,1410,4,Spring,2023,COLLEGE PHYSICS 1,"Menon, Balraj S",MWF,800,850,R,1050,1330,RS
